question_id,year,number,problem_id,subject,domain,topic,problem_difficulty,test_type,previous_years,country,problem_text,answers_text,choices_json,correct_answer,image_path,tex_path,raw_text,extra_json,solution_text,solution_image,mcq_frq,is_published
2025_20,2025,20,2025_20,math,Geometry and Mensuration,Coordinate Geometry,,,,,"For the graph of \(y=3x^2+x-7\), what is the minimum value of \(y\) from the given options?",,"{""A"": ""\\(-7\\)"", ""B"": ""\\(-10\\)"", ""C"": ""\\(-4\\)"", ""D"": ""\\(-1\\)""}",A,https://casohrqgydyyvcclqwqm.supabase.co/storage/v1/object/public/waec_math/2025_20.png,,"For the graph of \(y=3x^2+x-7\), what is the minimum value of \(y\) from the given options?",,"The exact vertex is at \(x=-\frac{b}{2a}=-\frac16\). Then \(y=3\left(-\frac16\right)^2-\frac16-7=-\frac{85}{12}\approx -7.08\). From the graph/options, this is read as \(-7\).",,MCQ,false
2025_21,2025,21,2025_21,math,Geometry and Mensuration,Coordinate Geometry,,,,,"Using the graph of \(y=3x^2+x-7\), find the roots of the equation.",,"{""A"": ""\\(1.4\\text{ and }-1.7\\)"", ""B"": ""\\(2.0\\text{ and }-1.9\\)"", ""C"": ""\\(1.0\\text{ and }-1.2\\)"", ""D"": ""\\(1.1\\text{ and }-1.3\\)""}",A,https://casohrqgydyyvcclqwqm.supabase.co/storage/v1/object/public/waec_math/2025_21.png,,"Using the graph of \(y=3x^2+x-7\), find the roots of the equation.",,"The roots are where \(3x^2+x-7=0\). By the quadratic formula, \(x=\frac{-1\pm\sqrt{85}}{6}\), giving approximately \(1.4\) and \(-1.7\).",,MCQ,false
2025_22,2025,22,2025_22,math,Geometry and Mensuration,Mensuration,,,,,The diagonals \(AC\) and \(BD\) of a rhombus \(ABCD\) are \(16\text{ cm}\) and \(12\text{ cm}\). Calculate the area.,,"{""A"": ""\\(96\\text{ cm}^2\\)"", ""B"": ""\\(36\\text{ cm}^2\\)"", ""C"": ""\\(48\\text{ cm}^2\\)"", ""D"": ""\\(24\\text{ cm}^2\\)""}",A,,,The diagonals \(AC\) and \(BD\) of a rhombus \(ABCD\) are \(16\text{ cm}\) and \(12\text{ cm}\). Calculate the area.,,Area of a rhombus \(=\frac12 d_1d_2=\frac12(16)(12)=96\text{ cm}^2\).,,MCQ,false
2025_23,2025,23,2025_23,math,Geometry and Mensuration,Mensuration,,,,,"A cylindrical container, closed at both ends, has radius \(7\text{ cm}\) and height \(5\text{ cm}\). Find its total surface area.",,"{""A"": ""\\(35\\text{ cm}^2\\)"", ""B"": ""\\(528\\text{ cm}^2\\)"", ""C"": ""\\(154\\text{ cm}^2\\)"", ""D"": ""\\(220\\text{ cm}^2\\)""}",B,https://casohrqgydyyvcclqwqm.supabase.co/storage/v1/object/public/waec_math/2025_23.png,,"A cylindrical container, closed at both ends, has radius \(7\text{ cm}\) and height \(5\text{ cm}\). Find its total surface area.",,"Total surface area of a closed cylinder is \(2\pi r(r+h)\). Using \(\pi=\frac{22}{7}\), \(r=7\), \(h=5\): \(2\times\frac{22}{7}\times7\times12=528\text{ cm}^2\).",,MCQ,false
2025_24,2025,24,2025_24,math,Geometry and Mensuration,Mensuration,,,,,Find the total surface area of a solid circular cone with base radius \(3\text{ cm}\) and slant height \(4\text{ cm}\). Take \(\pi=\frac{22}{7}\).,,"{""A"": ""\\(66\\text{ cm}^2\\)"", ""B"": ""\\(37\\frac57\\text{ cm}^2\\)"", ""C"": ""\\(75\\frac37\\text{ cm}^2\\)"", ""D"": ""\\(78\\frac67\\text{ cm}^2\\)""}",A,,,Find the total surface area of a solid circular cone with base radius \(3\text{ cm}\) and slant height \(4\text{ cm}\). Take \(\pi=\frac{22}{7}\).,,Total surface area \(=\pi r(r+l)=\frac{22}{7}\times3\times(3+4)=66\text{ cm}^2\).,,MCQ,false
2025_25,2025,25,2025_25,math,Geometry and Mensuration,Mensuration,,,,,A water tank of height \(\frac12\text{ m}\) has a square base of side \(1\frac12\text{ m}\). It is filled from a tanker holding \(1500\) litres. How many litres are left?,,"{""A"": ""\\(375\\text{ litres}\\)"", ""B"": ""\\(3750\\text{ litres}\\)"", ""C"": ""\\(37.5\\text{ litres}\\)"", ""D"": ""\\(37500\\text{ litres}\\)""}",A,,,A water tank of height \(\frac12\text{ m}\) has a square base of side \(1\frac12\text{ m}\). It is filled from a tanker holding \(1500\) litres. How many litres are left?,,"Volume \(=1.5\times1.5\times0.5=1.125\text{ m}^3\). Since \(1\text{ m}^3=1000\) litres, the tank holds \(1125\) litres. Water left \(=1500-1125=375\) litres.",,MCQ,false
2025_26,2025,26,2025_26,math,Geometry and Mensuration,Mensuration,,,,,A sphere has volume \(k\text{ cm}^3\) and surface area \(k\text{ cm}^2\). Calculate the diameter.,,"{""A"": ""\\(3\\text{ cm}\\)"", ""B"": ""\\(9\\text{ cm}\\)"", ""C"": ""More information needed"", ""D"": ""\\(6\\text{ cm}\\)""}",D,,,A sphere has volume \(k\text{ cm}^3\) and surface area \(k\text{ cm}^2\). Calculate the diameter.,"{""source_key"": ""A"", ""corrected_for_math"": true}","Set volume equal to surface area: \(\frac43\pi r^3=4\pi r^2\). Dividing by \(4\pi r^2\) gives \(\frac{r}{3}=1\), so \(r=3\text{ cm}\). Diameter \(=2r=6\text{ cm}\).",,MCQ,false
2025_27,2025,27,2025_27,math,Geometry and Mensuration,Mensuration,,,,,"A cone has a frustum with radii \(12\text{ cm}\) and \(6\text{ cm}\), and frustum slant height \(12\text{ cm}\). Calculate the full cone slant height.",,"{""A"": ""\\(24\\text{ cm}\\)"", ""B"": ""\\(15\\text{ cm}\\)"", ""C"": ""\\(8\\text{ cm}\\)"", ""D"": ""\\(12\\text{ cm}\\)""}",A,https://casohrqgydyyvcclqwqm.supabase.co/storage/v1/object/public/waec_math/2025_27.png,,"A cone has a frustum with radii \(12\text{ cm}\) and \(6\text{ cm}\), and frustum slant height \(12\text{ cm}\). Calculate the full cone slant height.",,"The similar-cone radii are in the ratio \(12:6=2:1\), so their slant heights are also in the ratio \(2:1\). If the small slant height is \(s\), the full slant height is \(2s\), and \(2s-s=12\). Thus \(s=12\) and the full slant height is \(24\text{ cm}\).",,MCQ,false
2025_28,2025,28,2025_28,math,Miscellaneous Topics,Longitude and Latitude,,,,,"The positions of two countries \(P\) and \(Q\) are \((15^\circ N,12^\circ E)\) and \((65^\circ N,12^\circ E)\). What is the difference in latitude?",,"{""A"": ""\\(50^\\circ\\)"", ""B"": ""\\(104^\\circ\\)"", ""C"": ""\\(80^\\circ\\)"", ""D"": ""\\(100^\\circ\\)""}",A,,,"The positions of two countries \(P\) and \(Q\) are \((15^\circ N,12^\circ E)\) and \((65^\circ N,12^\circ E)\). What is the difference in latitude?",,"Both latitudes are north, so subtract: \(65^\circ-15^\circ=50^\circ\).",,MCQ,false
2025_29,2025,29,2025_29,math,Geometry and Mensuration,Mensuration,,,,,A \(120^\circ\) sector of a circle of radius \(21\text{ cm}\) is bent to form a cone. What is the base radius of the cone?,,"{""A"": ""\\(3\\frac12\\text{ cm}\\)"", ""B"": ""\\(10\\frac12\\text{ cm}\\)"", ""C"": ""\\(14\\text{ cm}\\)"", ""D"": ""\\(7\\text{ cm}\\)""}",D,,,A \(120^\circ\) sector of a circle of radius \(21\text{ cm}\) is bent to form a cone. What is the base radius of the cone?,,"The sector arc becomes the cone base circumference. Arc length \(=\frac{120}{360}\times2\pi\times21=14\pi\). Since \(2\pi r=14\pi\), \(r=7\text{ cm}\).",,MCQ,false
2025_30,2025,30,2025_30,math,Geometry and Mensuration,Mensuration,,,,,"A cylindrical container, closed at both ends, has radius \(7\text{ cm}\) and height \(5\text{ cm}\). What is the volume?",,"{""A"": ""\\(770\\text{ cm}^3\\)"", ""B"": ""\\(35\\text{ cm}^3\\)"", ""C"": ""\\(220\\text{ cm}^3\\)"", ""D"": ""\\(154\\text{ cm}^3\\)""}",A,https://casohrqgydyyvcclqwqm.supabase.co/storage/v1/object/public/waec_math/2025_30.png,,"A cylindrical container, closed at both ends, has radius \(7\text{ cm}\) and height \(5\text{ cm}\). What is the volume?",,Volume \(V=\pi r^2h=\frac{22}{7}\times7^2\times5=770\text{ cm}^3\).,,MCQ,false
2025_31,2025,31,2025_31,math,Number and Numeration,Logarithms,,,,,"If \(\log_{10}x=\bar{2}.3675\) and \(\log_{10}y=\bar{2}.9738\), find \(x+y\), correct to three significant figures.",,"{""A"": ""\\(0.118\\)"", ""B"": ""\\(0.903\\)"", ""C"": ""\\(0.117\\)"", ""D"": ""\\(0.944\\)""}",A,,,"If \(\log_{10}x=\bar{2}.3675\) and \(\log_{10}y=\bar{2}.9738\), find \(x+y\), correct to three significant figures.",,"\(\bar{2}.3675=-2+0.3675\), so \(x=10^{-2+0.3675}\approx0.02331\). Also \(y=10^{-2+0.9738}\approx0.09414\). Therefore \(x+y\approx0.11745\), which is \(0.118\) to three significant figures.",,MCQ,false
2025_32,2025,32,2025_32,math,Geometry and Mensuration,Mensuration,,,,,A sector has angle \(108^\circ\) and radius \(3\frac12\text{ cm}\). Find its perimeter.,,"{""A"": ""\\(6\\frac35\\text{ cm}\\)"", ""B"": ""\\(7\\frac{2}{10}\\text{ cm}\\)"", ""C"": ""\\(6\\frac45\\text{ cm}\\)"", ""D"": ""\\(13\\frac35\\text{ cm}\\)""}",D,,,A sector has angle \(108^\circ\) and radius \(3\frac12\text{ cm}\). Find its perimeter.,,Perimeter \(=\) arc length \(+2r\). Arc length \(=\frac{108}{360}\times2\times\frac{22}{7}\times3.5=6.6\text{ cm}\). Thus perimeter \(=6.6+7=13.6=13\frac35\text{ cm}\).,,MCQ,false
2025_33,2025,33,2025_33,math,Geometry and Mensuration,Plane Geometry,,,,,"In the diagram, \(AO\perp OB\). Find \(x\).",,"{""A"": ""\\(15^\\circ\\)"", ""B"": ""\\(22.5^\\circ\\)"", ""C"": ""\\(7.5^\\circ\\)"", ""D"": ""\\(30^\\circ\\)""}",D,https://casohrqgydyyvcclqwqm.supabase.co/storage/v1/object/public/waec_math/2025_33.png,,"In the diagram, \(AO\perp OB\). Find \(x\).",,"The right angle contributes \(90^\circ\). The labelled angles around the point give the equation \(9x+90^\circ=360^\circ\), so \(x=30^\circ\).",,MCQ,false
2025_34,2025,34,2025_34,math,Geometry and Mensuration,Circle Geometry,,,,,"In the diagram, \(O\) is the centre of the circle and \(|BD|=|DC|\). If \(\angle DCB=35^\circ\), find \(\angle BAO\).",,"{""A"": ""\\(25^\\circ\\)"", ""B"": ""\\(30^\\circ\\)"", ""C"": ""\\(20^\\circ\\)"", ""D"": ""\\(35^\\circ\\)""}",C,https://casohrqgydyyvcclqwqm.supabase.co/storage/v1/object/public/waec_math/2025_34.png,,"In the diagram, \(O\) is the centre of the circle and \(|BD|=|DC|\). If \(\angle DCB=35^\circ\), find \(\angle BAO\).",,"Using \(|BD|=|DC|\), triangle \(BDC\) is isosceles. Combining the equal angles with the circle-centre angle facts in the diagram gives \(\angle BAO=20^\circ\).",,MCQ,false
2025_35,2025,35,2025_35,math,Geometry and Mensuration,Polygons,,,,,Which of the following angles is an exterior angle of a regular polygon?,,"{""A"": ""\\(95^\\circ\\)"", ""B"": ""\\(78^\\circ\\)"", ""C"": ""\\(72^\\circ\\)"", ""D"": ""\\(85^\\circ\\)""}",C,,,Which of the following angles is an exterior angle of a regular polygon?,,An exterior angle of a regular polygon must divide \(360^\circ\) exactly. Only \(72^\circ\) works because \(360\div72=5\).,,MCQ,false
2025_36,2025,36,2025_36,math,Geometry and Mensuration,Loci,,,,,The locus of a point equidistant from two fixed points is the:,,"{""A"": ""angle bisector of the straight lines joining them"", ""B"": ""parallel line to the straight line joining them"", ""C"": ""perpendicular to the straight line joining them"", ""D"": ""perpendicular bisector of the straight line joining them""}",D,,,The locus of a point equidistant from two fixed points is the:,,All points equidistant from two fixed points lie on the perpendicular bisector of the segment joining those points.,,MCQ,false
2025_37,2025,37,2025_37,math,Geometry and Mensuration,Plane Geometry,,,,,"In the diagram, \(|AB|=12\text{ cm}\), \(|AE|=8\text{ cm}\), \(|DC|=9\text{ cm}\), and the indicated lines are parallel. Find \(|EC|\).",,"{""A"": ""\\(6\\text{ cm}\\)"", ""B"": ""\\(5\\text{ cm}\\)"", ""C"": ""\\(8\\text{ cm}\\)"", ""D"": ""\\(9\\text{ cm}\\)""}",A,https://casohrqgydyyvcclqwqm.supabase.co/storage/v1/object/public/waec_math/2025_37.png,,"In the diagram, \(|AB|=12\text{ cm}\), \(|AE|=8\text{ cm}\), \(|DC|=9\text{ cm}\), and the indicated lines are parallel. Find \(|EC|\).",,"By similarity from the parallel lines, \(\frac{EC}{AE}=\frac{DC}{AB}=\frac{9}{12}\). Hence \(EC=8\times\frac{9}{12}=6\text{ cm}\).",,MCQ,false
2025_38,2025,38,2025_38,math,Geometry and Mensuration,Plane Geometry,,,,,"In the diagram, \(PQ\parallel TU\), \(\angle PQR=50^\circ\), \(\angle QRS=86^\circ\), and \(\angle STU=64^\circ\). Find \(x\).",,"{""A"": ""\\(100^\\circ\\)"", ""B"": ""\\(108^\\circ\\)"", ""C"": ""\\(120^\\circ\\)"", ""D"": ""\\(136^\\circ\\)""}",A,https://casohrqgydyyvcclqwqm.supabase.co/storage/v1/object/public/waec_math/2025_38.png,,"In the diagram, \(PQ\parallel TU\), \(\angle PQR=50^\circ\), \(\angle QRS=86^\circ\), and \(\angle STU=64^\circ\). Find \(x\).",,"Using corresponding and co-interior angles on the parallel lines, the angle chase gives \(x=100^\circ\).",,MCQ,false
2025_39,2025,39,2025_39,math,Geometry and Mensuration,Plane Geometry,,,,,"In the diagram, \(AB\parallel DC\), and the bisectors of \(\angle BAC\) and \(\angle ACD\) meet at \(E\). Find \(\angle AEC\).",,"{""A"": ""\\(45^\\circ\\)"", ""B"": ""\\(60^\\circ\\)"", ""C"": ""\\(30^\\circ\\)"", ""D"": ""\\(90^\\circ\\)""}",D,https://casohrqgydyyvcclqwqm.supabase.co/storage/v1/object/public/waec_math/2025_39.png,,"In the diagram, \(AB\parallel DC\), and the bisectors of \(\angle BAC\) and \(\angle ACD\) meet at \(E\). Find \(\angle AEC\).",,"The two angles being bisected are supplementary because of the parallel lines. The bisectors of supplementary angles meet at a right angle, so \(\angle AEC=90^\circ\).",,MCQ,false
2025_40,2025,40,2025_40,math,Geometry and Mensuration,Plane Geometry,,,,,"In the diagram, \(AB\parallel CD\). What is the size of \(x\)?",,"{""A"": ""\\(93^\\circ\\)"", ""B"": ""\\(77^\\circ\\)"", ""C"": ""\\(103^\\circ\\)"", ""D"": ""\\(62^\\circ\\)""}",A,https://casohrqgydyyvcclqwqm.supabase.co/storage/v1/object/public/waec_math/2025_40.png,,"In the diagram, \(AB\parallel CD\). What is the size of \(x\)?",,Using corresponding angles and the triangle angle sum in the diagram gives \(x=93^\circ\).,,MCQ,false
2025_41,2025,41,2025_41,math,Geometry and Mensuration,Plane Geometry,,,,,"In the diagram, find \(b+c\).",,"{""A"": ""\\(a^\\circ\\)"", ""B"": ""\\(90^\\circ\\)"", ""C"": ""\\(180^\\circ\\)"", ""D"": ""\\(d^\\circ\\)""}",C,https://casohrqgydyyvcclqwqm.supabase.co/storage/v1/object/public/waec_math/2025_41.png,,"In the diagram, find \(b+c\).",,"The diagram forms a cyclic quadrilateral, so the opposite angles \(b\) and \(c\) are supplementary. Therefore \(b+c=180^\circ\).",,MCQ,false
2025_42,2025,42,2025_42,math,Geometry and Mensuration,Plane Geometry,,,,,"In \(\triangle ABC\), side \(BC\) is produced to \(D\). If \(|AB|=|AC|\) and \(\angle BAC=50^\circ\), find \(\angle ACD\).",,"{""A"": ""\\(115^\\circ\\)"", ""B"": ""\\(65^\\circ\\)"", ""C"": ""\\(60^\\circ\\)"", ""D"": ""\\(50^\\circ\\)""}",A,https://casohrqgydyyvcclqwqm.supabase.co/storage/v1/object/public/waec_math/2025_42.png,,"In \(\triangle ABC\), side \(BC\) is produced to \(D\). If \(|AB|=|AC|\) and \(\angle BAC=50^\circ\), find \(\angle ACD\).",,"Since \(|AB|=|AC|\), the base angles are equal: \(\frac{180^\circ-50^\circ}{2}=65^\circ\). The exterior angle \(\angle ACD=180^\circ-65^\circ=115^\circ\).",,MCQ,false
2025_43,2025,43,2025_43,math,Trigonometry,Trigonometric Ratios,,,,,"In right triangle \(PQR\), \(\angle PRQ=90^\circ\), \(\angle QPR=30^\circ\), and \(|PQ|=10\text{ cm}\). Find \(|QR|\).",,"{""A"": ""\\(6\\text{ cm}\\)"", ""B"": ""\\(4\\text{ cm}\\)"", ""C"": ""\\(5\\text{ cm}\\)"", ""D"": ""\\(3\\text{ cm}\\)""}",C,https://casohrqgydyyvcclqwqm.supabase.co/storage/v1/object/public/waec_math/2025_43.png,,"In right triangle \(PQR\), \(\angle PRQ=90^\circ\), \(\angle QPR=30^\circ\), and \(|PQ|=10\text{ cm}\). Find \(|QR|\).",,"\(PQ\) is the hypotenuse. The side opposite \(30^\circ\) in a right triangle is half the hypotenuse, so \(QR=\frac{10}{2}=5\text{ cm}\).",,MCQ,false
